,followers,author,twitter
0,6142,douglas wolk,@douglaswolk
1,15309,marc masters,@Marcissist
2,4145,nate patrin,@natepatrin
3,147,joshua love,@joshcarusolove
4,734,nick neyland,@nickneyland
5,2974,stephen m. deusner,@stephenmdeusner
6,2366,andrew gaerig,@agaerig
7,3676,nick sylvester,@nickgodmode
8,14882,tom breihan,@tombreihan
9,6839,jason heller,@jason_m_heller
10,9750,ryan dombal,@ryandombal
11,8048,marc hogan,@marchogan
12,1154,joe colly,@jpcolly
13,4399,andy beta,@betaworldpeace
14,953,jess harvell,@cheaptrickrules
15,25361,brandon stosuy,@brandonstosuy
16,2514,scott plagenhoef,@scottplagenhoef
17,2781,mark pytlik,@markpytlik
18,4595,rob mitchum,@robmitchum
19,3135,zach kelly,@ZachWKelly
20,391,paul thompson,@thom_pson
21,4075,miles raymer,@milesraymer
22,3084,mike powell,@sternlunch
23,645,joe tangari,@OrchestreJMT
24,20121,lindsay zoladz,@lindsayzoladz
25,19338,ian cohen,@en_cohen
26,14036,jayson greene,@Jayson_Greene
27,14636,larry fitzmaurice,@lfitzmaurice
28,9129,grayson haver currin,@currincy
29,44768,laura snapes,@laurasnapes
30,1801,brian howe,@Brian_Gray_Howe
31,14168,amanda petrusich,@amandapetrusich
32,6760,stuart berman,@stuberman
33,18929,mark richardson,@markrichardson
